epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,40.6149,0.53231,0.96033,1,0.11827,0.0671331,0.000331989,0.000331989
2,72.8507,0.29659,0.97787,1,0.06489,0.0341264,0.00065867,0.00065867
3,103.498,0.2658,0.96968,1,0.09735,0.00111309,0.000978685,0.000978685
4,134.46,0.2495,0.98754,1,0.04298,0.000970003,0.000970003,0.000970003
5,165.462,0.22826,0.97377,1,0.08339,0.000960004,0.000960004,0.000960004
6,195.643,0.2094,0.98754,1,0.03828,0.000950005,0.000950005,0.000950005
7,225.599,0.19966,0.96853,1,0.10692,0.000940006,0.000940006,0.000940006
8,256.801,0.18783,0.98476,1,0.05086,0.000930007,0.000930007,0.000930007
9,295.751,0.19145,0.99099,1,0.02679,0.000920008,0.000920008,0.000920008
10,332.733,0.18389,0.99475,1,0.02018,0.000910009,0.000910009,0.000910009
11,368.323,0.16799,0.99394,1,0.01864,0.00090001,0.00090001,0.00090001
12,405.189,0.18008,0.99344,1,0.02161,0.000890011,0.000890011,0.000890011
13,441.478,0.16034,0.98295,1,0.05104,0.000880012,0.000880012,0.000880012
14,477.862,0.17118,0.99213,1,0.02482,0.000870013,0.000870013,0.000870013
15,513.286,0.15922,0.99459,1,0.02105,0.000860014,0.000860014,0.000860014
16,548.299,0.15314,0.99066,1,0.02973,0.000850015,0.000850015,0.000850015
17,579.511,0.15532,0.99377,1,0.02219,0.000840016,0.000840016,0.000840016
18,607.609,0.14746,0.9923,1,0.02438,0.000830017,0.000830017,0.000830017
19,639.06,0.15075,0.99721,1,0.01047,0.000820018,0.000820018,0.000820018
20,675.521,0.15079,0.99639,1,0.01336,0.000810019,0.000810019,0.000810019
21,709.547,0.14046,0.99492,1,0.01619,0.00080002,0.00080002,0.00080002
1,31.5241,0.53231,0.96033,1,0.11827,0.0671331,0.000331989,0.000331989
2,58.3304,0.29659,0.97787,1,0.06489,0.0341264,0.00065867,0.00065867
3,85.6476,0.2658,0.96968,1,0.09735,0.00111309,0.000978685,0.000978685
4,111.895,0.2495,0.98754,1,0.04298,0.000970003,0.000970003,0.000970003
5,138.716,0.22826,0.97377,1,0.08339,0.000960004,0.000960004,0.000960004
6,165.22,0.2094,0.98754,1,0.03828,0.000950005,0.000950005,0.000950005
7,191.545,0.19966,0.96853,1,0.10692,0.000940006,0.000940006,0.000940006
8,221.313,0.18783,0.98476,1,0.05086,0.000930007,0.000930007,0.000930007
9,251.186,0.19145,0.99099,1,0.02679,0.000920008,0.000920008,0.000920008
10,281.144,0.18389,0.99475,1,0.02018,0.000910009,0.000910009,0.000910009
11,311.102,0.16799,0.99394,1,0.01864,0.00090001,0.00090001,0.00090001
12,341.087,0.18008,0.99344,1,0.02161,0.000890011,0.000890011,0.000890011
13,371.458,0.16034,0.98295,1,0.05104,0.000880012,0.000880012,0.000880012
14,401.61,0.17118,0.99213,1,0.02482,0.000870013,0.000870013,0.000870013
15,431.678,0.15922,0.99459,1,0.02105,0.000860014,0.000860014,0.000860014
16,461.421,0.15314,0.99066,1,0.02973,0.000850015,0.000850015,0.000850015
17,491.294,0.15532,0.99377,1,0.02219,0.000840016,0.000840016,0.000840016
18,521.351,0.14746,0.9923,1,0.02438,0.000830017,0.000830017,0.000830017
19,551.18,0.15075,0.99721,1,0.01047,0.000820018,0.000820018,0.000820018
20,581.01,0.15079,0.99639,1,0.01336,0.000810019,0.000810019,0.000810019
21,610.792,0.14046,0.99492,1,0.01619,0.00080002,0.00080002,0.00080002
22,640.777,0.137,0.99639,1,0.01094,0.000790021,0.000790021,0.000790021
23,670.803,0.13812,0.99557,1,0.01377,0.000780022,0.000780022,0.000780022
24,700.602,0.13311,0.99689,1,0.00864,0.000770023,0.000770023,0.000770023
25,731.087,0.13441,0.99721,1,0.00792,0.000760024,0.000760024,0.000760024
26,761.006,0.12882,0.9982,1,0.00686,0.000750025,0.000750025,0.000750025
27,791.012,0.12936,0.99852,1,0.00766,0.000740026,0.000740026,0.000740026
28,820.99,0.12597,0.99672,1,0.01095,0.000730027,0.000730027,0.000730027
29,851.125,0.12693,0.99656,1,0.00877,0.000720028,0.000720028,0.000720028
30,881.297,0.13452,0.99885,1,0.00464,0.000710029,0.000710029,0.000710029
31,911.6,0.12563,0.99689,1,0.00794,0.00070003,0.00070003,0.00070003
32,941.485,0.11477,0.99639,1,0.00855,0.000690031,0.000690031,0.000690031
33,971.346,0.11962,0.99738,1,0.00837,0.000680032,0.000680032,0.000680032
34,1001.41,0.11745,0.99885,1,0.00479,0.000670033,0.000670033,0.000670033
35,1031.5,0.11631,0.99869,1,0.00526,0.000660034,0.000660034,0.000660034
36,1061.42,0.11778,0.99885,1,0.00464,0.000650035,0.000650035,0.000650035
37,1091.47,0.12213,0.99902,1,0.0043,0.000640036,0.000640036,0.000640036
38,1121.45,0.11506,0.99852,1,0.00407,0.000630037,0.000630037,0.000630037
39,1151.34,0.10721,0.99885,1,0.0039,0.000620038,0.000620038,0.000620038
40,1181.27,0.10855,0.99836,1,0.00422,0.000610039,0.000610039,0.000610039
41,1211.04,0.10274,0.99869,1,0.00405,0.00060004,0.00060004,0.00060004
42,1241.01,0.10598,0.99885,1,0.00421,0.000590041,0.000590041,0.000590041
43,1270.92,0.10037,0.99885,1,0.00402,0.000580042,0.000580042,0.000580042
44,1300.9,0.09825,0.99869,1,0.00385,0.000570043,0.000570043,0.000570043
45,1330.97,0.10667,0.99852,1,0.00345,0.000560044,0.000560044,0.000560044
46,1360.83,0.09667,0.99803,1,0.00503,0.000550045,0.000550045,0.000550045
47,1390.88,0.10202,0.99869,1,0.00367,0.000540046,0.000540046,0.000540046
48,1420.89,0.0986,0.99869,1,0.00455,0.000530047,0.000530047,0.000530047
49,1450.72,0.0963,0.99869,1,0.00426,0.000520048,0.000520048,0.000520048
50,1480.6,0.09792,0.99869,1,0.00444,0.000510049,0.000510049,0.000510049
51,1511.01,0.09632,0.99852,1,0.00417,0.00050005,0.00050005,0.00050005
52,1540.92,0.09934,0.99885,1,0.00382,0.000490051,0.000490051,0.000490051
