epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,361.175,0.6606,1.42991,1.22894,0.31455,0.82,0.33045,0.28597,0.30463,18.1809,0.47975,0.0700302,0.00332997,0.00332997
2,723.642,0.50298,1.27476,1.11018,0.28497,0.89977,0.40864,0.39047,0.30553,24.8755,0.46865,0.0398983,0.00653137,0.00653137
3,1073.25,0.41597,1.22475,1.05137,0.36868,0.68692,0.39844,0.39525,0.16699,32.9724,0.39196,0.00963438,0.00960077,0.00960077
4,1395.42,0.36573,1.18846,1.02363,0.31668,0.83103,0.38978,0.3334,0.49173,34.2139,0.6951,0.009406,0.009406,0.009406
5,1745.88,0.32959,1.16001,1.00455,0.25016,0.83818,0.33593,0.31623,0.25515,34.2135,0.45646,0.009208,0.009208,0.009208
6,2141.52,0.29077,1.12821,0.98778,0.40382,0.66932,0.47498,0.4356,0.3437,27.9927,0.51319,0.00901,0.00901,0.00901
7,2462.73,0.27529,1.10317,0.98162,0.35017,0.78305,0.48392,0.46518,0.20778,29.4837,0.34041,0.008812,0.008812,0.008812
8,2787.93,0.26931,1.07978,0.97994,0.41244,0.72562,0.50327,0.48427,0.20883,36.6133,0.35122,0.008614,0.008614,0.008614
9,3116.19,0.25222,1.02839,0.9698,0.65321,0.70412,0.69575,0.69358,0.09364,6.78578,0.26308,0.008416,0.008416,0.008416
10,3445.46,0.24464,0.94345,0.96736,0.67191,0.66464,0.7056,0.70379,0.09073,3.23726,0.25596,0.008218,0.008218,0.008218
11,3771.58,0.24234,0.8393,0.96612,0.53988,0.65446,0.69605,0.68608,0.13399,51.4021,0.29179,0.00802,0.00802,0.00802
12,4097.06,0.23912,0.7725,0.9644,0.92478,0.88015,0.95885,0.95773,0.08959,1.40909,0.23573,0.007822,0.007822,0.007822
13,4422.49,0.22946,0.71436,0.96003,0.95602,0.93358,0.98136,0.98095,0.07604,2.33358,0.22727,0.007624,0.007624,0.007624
14,4738.18,0.22299,0.69851,0.9564,0.87292,0.65667,0.86208,0.86011,0.08405,20.9247,0.22801,0.007426,0.007426,0.007426
15,5063.38,0.2123,0.67452,0.95449,0.9642,0.96027,0.98795,0.9871,0.06547,1.80803,0.20415,0.007228,0.007228,0.007228
16,5389.71,0.21017,0.64826,0.95306,0.92864,0.85183,0.95322,0.95173,0.08362,4.63091,0.22495,0.00703,0.00703,0.00703
17,5714.85,0.20826,0.63593,0.95454,0.97475,0.97144,0.99164,0.99087,0.07046,1.82166,0.21355,0.006832,0.006832,0.006832
18,6039.51,0.19838,0.6161,0.94895,0.68103,0.60291,0.72399,0.71695,0.09017,15.7415,0.23805,0.006634,0.006634,0.006634
19,6361.31,0.18987,0.60356,0.94647,0.94294,0.80593,0.96572,0.96504,0.09269,24.9536,0.20451,0.006436,0.006436,0.006436
20,6680.97,0.18771,0.59793,0.94338,0.97337,0.96353,0.99226,0.99153,0.06984,0.85441,0.19949,0.006238,0.006238,0.006238
21,6998.73,0.18169,0.58235,0.94264,0.98063,0.95578,0.99269,0.99231,0.04828,1.1237,0.18292,0.00604,0.00604,0.00604
22,7316.66,0.17935,0.56913,0.9408,0.9808,0.97935,0.99334,0.99274,0.03761,1.18101,0.18056,0.005842,0.005842,0.005842
23,7633.56,0.17432,0.56624,0.94037,0.94821,0.87875,0.97213,0.97081,0.04249,1.43373,0.17759,0.005644,0.005644,0.005644
24,7950.81,0.17029,0.55856,0.93866,0.95817,0.87532,0.98422,0.98299,0.04002,14.6607,0.17384,0.005446,0.005446,0.005446
25,8299.15,0.17075,0.54644,0.9403,0.99013,0.98546,0.99447,0.9942,0.03043,0.56166,0.16813,0.005248,0.005248,0.005248
26,8642.87,0.16631,0.5403,0.93788,0.98514,0.97024,0.99391,0.99361,0.03914,1.99118,0.17454,0.00505,0.00505,0.00505
27,8983.05,0.16157,0.53229,0.93622,0.98947,0.98536,0.99461,0.99437,0.0315,0.68757,0.16898,0.004852,0.004852,0.004852
28,9317.16,0.15847,0.52394,0.93618,0.98097,0.98348,0.99379,0.99335,0.03823,0.47876,0.17087,0.004654,0.004654,0.004654
29,9651.5,0.15098,0.51782,0.93346,0.99354,0.98727,0.99492,0.99488,0.03708,0.24931,0.17139,0.004456,0.004456,0.004456
30,9986.86,0.15142,0.5134,0.93294,0.99168,0.99286,0.99478,0.99472,0.03195,0.26457,0.16932,0.004258,0.004258,0.004258
31,10332.9,0.15099,0.50748,0.93341,0.98811,0.98755,0.99471,0.99469,0.03463,1.35641,0.16884,0.00406,0.00406,0.00406
32,10682.2,0.14655,0.50084,0.93179,0.99426,0.99184,0.99491,0.9949,0.03888,0.44212,0.17012,0.003862,0.003862,0.003862
33,11031.8,0.14415,0.49366,0.93188,0.99325,0.99248,0.99491,0.9949,0.04742,0.23995,0.17202,0.003664,0.003664,0.003664
34,11381.6,0.13591,0.49222,0.92397,0.99409,0.99165,0.99493,0.99493,0.03534,0.37346,0.16798,0.003466,0.003466,0.003466
35,11727.8,0.13924,0.48483,0.92733,0.99225,0.99643,0.99493,0.99492,0.04065,0.16907,0.16873,0.003268,0.003268,0.003268
36,332.438,0.14711,0.49024,0.93226,0.99498,0.9928,0.99494,0.99494,0.03749,0.28436,0.16872,0.00307,0.00307,0.00307
37,666.739,0.13982,0.4788,0.93199,0.99528,0.99587,0.99494,0.99493,0.03204,0.29273,0.16668,0.002872,0.002872,0.002872
38,1002.42,0.13075,0.47317,0.92603,0.99445,0.99582,0.99496,0.99496,0.02634,0.20657,0.16455,0.002674,0.002674,0.002674
39,1336.61,0.12782,0.46938,0.92459,0.99679,0.99289,0.99497,0.99497,0.02738,0.16725,0.16367,0.002476,0.002476,0.002476
40,1658.71,0.12372,0.46103,0.92417,0.99477,0.9952,0.99496,0.99496,0.03133,0.10733,0.16384,0.002278,0.002278,0.002278
41,2021.62,0.26607,0.22609,1.07735,0.9926,0.99656,0.99495,0.99495,0.02725,0.06775,0.16271,0.00208,0.00208,0.00208
42,2349.87,0.25364,0.18905,1.06303,0.99401,0.99626,0.99497,0.99497,0.03401,0.05712,0.16554,0.001882,0.001882,0.001882
43,2675.66,0.24052,0.17615,1.04896,0.99674,0.99567,0.99497,0.99497,0.02943,0.05309,0.16145,0.001684,0.001684,0.001684
44,3001.73,0.24085,0.16958,1.05168,0.99675,0.99525,0.99497,0.99497,0.02617,0.0532,0.16007,0.001486,0.001486,0.001486
45,3327.54,0.23274,0.15833,1.04314,0.99715,0.99624,0.99498,0.99498,0.0267,0.04783,0.15947,0.001288,0.001288,0.001288
46,3655.83,0.23722,0.15437,1.04842,0.99772,0.9964,0.99499,0.99499,0.02714,0.04748,0.15914,0.00109,0.00109,0.00109
47,3982.98,0.22492,0.14768,1.03996,0.99815,0.99667,0.99499,0.99499,0.02794,0.04495,0.15961,0.000892,0.000892,0.000892
48,4309.53,0.22613,0.14806,1.0378,0.99829,0.99695,0.99499,0.99499,0.02799,0.04814,0.1587,0.000694,0.000694,0.000694
49,4634.91,0.22364,0.13783,1.0361,0.99846,0.99699,0.99499,0.99499,0.02909,0.0542,0.15899,0.000496,0.000496,0.000496
50,4960.68,0.22656,0.13603,1.04186,0.99878,0.99735,0.99499,0.99499,0.0267,0.05631,0.15622,0.000298,0.000298,0.000298
